Месяц,Вложено своих,На вкладах,На ИИС (ОФЗ),Общий капитал,Накопленная прибыль
1,250000,250000.0,0.0,250000.0,0.0
2,350000,250000.0,100000.0,350000.0,1250.0
3,450000,350000.0,100000.0,450000.0,2500.0
4,550000,354000.0,200000.0,554000.0,9000.0
5,650000,454000.0,200000.0,654000.0,11500.0
6,750000,467850.0,300000.0,767850.0,29100.0
7,850000,571776.0,300000.0,871776.0,36776.0
8,950000,575476.0,400000.0,975476.0,45476.0
9,1050000,685041.0,400000.0,1085041.0,60041.0
10,1150000,692422.0,500000.0,1192422.0,73672.0
11,1250000,796026.0,500000.0,1296026.0,83526.0
12,1350000,808722.0,648000.0,1456722.0,155722.0
